Course Code,Course Name,Credits,Section Code,Section Number,CRN,Enrollment,Professor,Notes,Schedule
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,001,90001,20 \/ 15,"Micale, Joseph",,Tue 08:30-09:50 at CULM LECT 1; Thu 08:30-09:50 at CULM LECT 1
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,003,90002,18 \/ 15,"Ma, Yue",,Tue 10:00-11:20 at KUPF 206; Thu 10:00-11:20 at KUPF 206
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,005,90003,21 \/ 15,"Seda, Wilson",,Mon 14:30-15:50 at CULM LECT 1; Thu 14:30-15:50 at CULM LECT 1
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,007,90004,17 \/ 15,"Seda, Wilson",,Mon 13:00-14:20 at KUPF 108; Wed 13:00-14:20 at KUPF 108
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,101,90005,20 \/ 15,"Nwachuku, Adaeze",,Wed 18:00-20:50 at WEST LECT 2
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,103,96562,2 \/ 0,"Beerbower, Karen",,Thu 18:00-20:50 at CAB 3052
ACCT115,FUND OF FINANCIAL ACCOUNTING,3.0,ACCT115,FP,95638,0 \/ 0,,,
ACCT117,PRINCIPLES OF FIN ACCOUNTNG,3.0,ACCT117,001,90006,23 \/ 41,"Derbaly, George",,Mon 13:00-14:20 at KUPF 107; Thu 13:00-14:20 at KUPF 107
ACCT117,PRINCIPLES OF FIN ACCOUNTNG,3.0,ACCT117,003,90007,24 \/ 41,"Derbaly, George",,Mon 11:30-12:50 at KUPF 202; Thu 11:30-12:50 at KUPF 202
ACCT117,PRINCIPLES OF FIN ACCOUNTNG,3.0,ACCT117,101,90008,34 \/ 41,"Saint Fort, Patrick",,Tue 18:00-20:50 at FMH 306
ACCT117,PRINCIPLES OF FIN ACCOUNTNG,3.0,ACCT117,FP,95639,0 \/ 0,,,
ACCT215,MANAGERIAL ACCOUNTING I,3.0,ACCT215,001,90009,22 \/ 42,"Tamke, William",,Tue 08:30-09:50 at KUPF 207; Thu 08:30-09:50 at KUPF 207
ACCT215,MANAGERIAL ACCOUNTING I,3.0,ACCT215,003,90010,42 \/ 42,"Tamke, William",,Mon 14:30-15:50 at KUPF 207; Thu 14:30-15:50 at KUPF 207
ACCT215,MANAGERIAL ACCOUNTING I,3.0,ACCT215,FP,95640,0 \/ 0,,,
ACCT325,INTERMEDIATE ACCOUNTING I,3.0,ACCT325,001,90011,14 \/ 43,"Tamke, William",,Tue 11:30-12:50 at CAB 2020; Thu 11:30-12:50 at CAB 2020
ACCT403,FINANCIAL STATEMENT ANALYSIS,3.0,ACCT403,001,90012,1 \/ 8,"Tamke, William",,Mon 10:00-11:20 at GITC 1100; Thu 10:00-11:20 at GITC 1100
ACCT425,TAX ACCOUNTING I,3.0,ACCT425,101,90014,10 \/ 43,"Tang, Qian",,Thu 18:00-20:50 at KUPF 203
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,001,90015,22 \/ 43,"Taylor, Ming",Hybrid Course - Meets Alternate Weeks<br\/>Face-to-face meetings held alternate weeks start September 9,Mon 14:30-17:20 at CAB 3052
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,003,90016,25 \/ 43,,Hybrid Course - Meets Alternate Weeks<br\/>Face-to-face meetings alternate weeks starting September 5,Thu 14:30-17:20 at KUPF 105
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,101,90017,4 \/ 43,"Derbaly, George",Hybrid Course - Meets Alternate Weeks<br\/>Face-to-face meetings alternate weeks starting September 10,Tue 18:00-20:50 at KUPF 206
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,851,90018,27 \/ 30,"Ma, Yue",Restricted to Virtual Campus Students Only<br\/>Online Course,
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,853,90019,10 \/ 30,"Seda, Wilson",Restricted to Newark Campus Students Only<br\/>Online Course,
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,855,90020,11 \/ 30,"Taylor, Ming",Open to Newark and Virtual Campus Students<br\/>Online Course,
ACCT615,MANAGEMENT ACCOUNTING,3.0,ACCT615,857,96372,6 \/ 19,"Micale, Joseph",Restricted to Company Cohort<br\/>Online Course,
AD150,COLOR AND COMPOSITION,3.0,AD150,001,90021,11 \/ 12,"Short, Martin",,Mon 13:00-15:05 at WEST LECT 2; Mon 15:15-17:20 at CAMP 236D
AD150,COLOR AND COMPOSITION,3.0,AD150,003,90022,2 \/ 12,"Nelson, Monica",,Mon 13:00-15:05 at WEST LECT 2; Mon 15:15-17:20 at CAMP 236D
AD150,COLOR AND COMPOSITION,3.0,AD150,005,90023,3 \/ 12,"Sobers, Sophia",,Wed 10:45-12:50 at CAMP 236G; Wed 08:30-10:35 at WEST LECT 2
AD150,COLOR AND COMPOSITION,3.0,AD150,007,90024,1 \/ 12,,,Wed 10:45-12:50 at CAMP 236G; Wed 08:30-10:35 at WEST LECT 2
AD150,COLOR AND COMPOSITION,3.0,AD150,009,90025,3 \/ 12,"Goldman, Glenn",,Wed 10:45-12:50 at CAMP 236G; Wed 08:30-10:35 at WEST LECT 2
AD150,COLOR AND COMPOSITION,3.0,AD150,011,90026,4 \/ 12,"Sobers, Sophia",,Thu 08:30-10:35 at WEST LECT 2; Thu 10:45-12:50 at CAMP 236C
AD150,COLOR AND COMPOSITION,3.0,AD150,013,90027,6 \/ 12,,,Thu 10:45-12:50 at CAMP 236D; Thu 08:30-10:35 at WEST LECT 2
AD150,COLOR AND COMPOSITION,3.0,AD150,015,90028,0 \/ 12,,,Thu 08:30-10:35 at WEST LECT 2; Thu 10:45-12:50 at CAMP 236G
AD150,COLOR AND COMPOSITION,3.0,AD150,FP,95641,0 \/ 0,,,
AD161,HISTORY OF ART AND DESIGN I,3.0,AD161,001,90029,21 \/ 32,"Kogle, Amanda",,Tue 13:00-14:20 at GITC 1100; Fri 13:00-14:20 at GITC 1100
AD161,HISTORY OF ART AND DESIGN I,3.0,AD161,FP,95642,0 \/ 0,,,
AD201,HUMAN FACTORS\/ERGONOMICS,3.0,AD201,001,96123,33 \/ 60,"Alcala, Jose",,Tue 08:30-09:50 at ME 221; Thu 08:30-09:50 at ME 221
AD261,HISTORY OF ARCHITECTURE,3.0,AD261,001,96084,51 \/ 75,,,Tue 11:30-12:50 at KUPF 211; Wed 11:30-12:50 at KUPF 118
AD261,HISTORY OF ARCHITECTURE,3.0,AD261,HM1,96089,2 \/ 15,,Honors Course,Wed 11:30-12:50 at KUPF 118; Tue 11:30-12:50 at KUPF 211
AD463,COLLABORATIVE DESIGN STUDIO,5.0,AD463,001,90030,43 \/ 70,,Class meets in the Idea Factory,Mon 13:00-17:20 at  ; Thu 13:00-17:20 at  
AD463,COLLABORATIVE DESIGN STUDIO,5.0,AD463,003,90031,0 \/ 0,"Goldman, Glenn",,Mon 13:00-17:20 at  ; Thu 13:00-17:20 at  
AD463,COLLABORATIVE DESIGN STUDIO,5.0,AD463,005,90032,0 \/ 0,,,Mon 13:00-17:20 at  ; Thu 13:00-17:20 at  
AD463,COLLABORATIVE DESIGN STUDIO,5.0,AD463,007,90033,0 \/ 0,,,Mon 13:00-17:20 at  ; Thu 13:00-17:20 at  
AD490,ST:,3.0,AD490,001,90034,4 \/ 18,,,Mon 10:00-11:20 at CULM 111; Thu 10:00-11:20 at CULM 111
AD490,ST:,3.0,AD490,003,96083,15 \/ 15,"Kopp, Ronald",,Tue 10:00-11:20 at WEST 310; Thu 10:00-11:20 at WEST 310
AD490,ST:,3.0,AD490,101,90035,1 \/ 15,"Costello, Ian",,Tue 18:00-20:50 at CKB 215
AD490,ST:,3.0,AD490,103,90036,9 \/ 18,,,Thu 18:00-20:50 at WEST LECT 2
AD490,ST:,3.0,AD490,105,96573,0 \/ 15,,Class meets in the Idea Factory,Mon 18:00-20:50 at  
AD493,INDEPENDENT STUDY,3.0,AD493,008,90037,0 \/ 19,,See department for permission to enroll.,
AD493,INDEPENDENT STUDY,3.0,AD493,010,90038,0 \/ 19,,See department for permission to enroll.,
AD493,INDEPENDENT STUDY,3.0,AD493,013,90039,0 \/ 19,,See department for permission to enroll.,
AD493,INDEPENDENT STUDY,3.0,AD493,014,90040,0 \/ 19,,See department for permission to enroll.,
AD493,INDEPENDENT STUDY,3.0,AD493,022,90041,0 \/ 19,,See department for permission to enroll.,
AD493,INDEPENDENT STUDY,3.0,AD493,032,90042,0 \/ 19,,See department for permission to enroll.,
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,003,90044,8 \/ 15,"Sabat, Adrianna",,Wed 08:30-09:50 at FMH 309; Tue 08:30-09:50 at WEST LECT 2
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,005,90045,6 \/ 6,"Sabat, Adrianna",,Wed 10:00-11:20 at TIER 111; Tue 08:30-09:50 at WEST LECT 1
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,007,90046,0 \/ 0,"Shaw, Matthew",,Tue 08:30-09:50 at WEST LECT 1; Wed 08:30-09:50 at FMH 313
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,009,90047,0 \/ 0,,,Wed 10:00-11:20 at FMH 407; Tue 08:30-09:50 at WEST LECT 1
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,011,90048,0 \/ 0,,,Tue 08:30-09:50 at WEST LECT 1; Wed 08:30-09:50 at FMH 319
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,013,90049,0 \/ 0,"Godel, Addison",,Tue 08:30-09:50 at WEST LECT 1; Wed 10:00-11:20 at FMH 409
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,015,90050,0 \/ 0,"Shah, Mansi",,Wed 08:30-09:50 at FMH 321; Tue 08:30-09:50 at WEST LECT 1
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,017,90051,0 \/ 0,"Shaw, Matthew",,Tue 08:30-09:50 at WEST LECT 1; Wed 10:00-11:20 at KUPF 208
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,019,90052,0 \/ 0,"Santiago, Etien",,Tue 08:30-09:50 at WEST LECT 1; Wed 10:00-11:20 at KUPF 117
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,021,90053,0 \/ 0,"Shah, Mansi",,Wed 08:30-09:50 at FMH 411; Tue 08:30-09:50 at WEST LECT 1
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,023,90054,0 \/ 0,"Gamal-Eldin, Mohamed",,Wed 08:30-09:50 at FMH 413; Tue 08:30-09:50 at WEST LECT 1
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,025,90055,0 \/ 0,"Santiago, Etien",,Tue 08:30-09:50 at WEST LECT 1; Wed 08:30-09:50 at FMH 403
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,027,90056,0 \/ 0,"Godel, Addison",,Wed 08:30-09:50 at FMH 405; Tue 08:30-09:50 at WEST LECT 1
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,029,96533,0 \/ 0,"Esperdy, Gabrielle",,Tue 08:30-09:50 at WEST LECT 1; Wed 08:30-09:50 at FMH 307
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,031,96538,0 \/ 0,,,Tue 08:30-09:50 at WEST LECT 1; Wed 10:00-11:20 at CKB 220
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,033,96539,0 \/ 0,,,Tue 08:30-09:50 at WEST LECT 1; Wed 08:30-09:50 at FMH 110
ARCH110,TOOLS AND TECHNIQUES I,3.0,ARCH110,FP,95643,0 \/ 0,,,
